smiles,inchikey,group,fold
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,YDOTUXAWKBPQJW,1,train
C[C@H]1C2=NC3=CC=CC=C3C(=O)N2[C@@H](C(=O)N1)CC4=CNC5=CC=CC=C54,SUVZUTHVKIBYOH,1,train
CC(=O)CC(C)(C)N1C=C(N=C1)/C=C\2/C(=O)N3[C@H](C[C@@]4([C@H]3NC5=CC=CC=C54)C(C)(C)C=C)C(=O)N2,IOMOQUZQAXSJJI,8,test
CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C,GYSCAQFHASJXRS,10,train
CC(C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,MIZMDSVSLSIMSC,1,train
CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCCCC[C@@H]([C@@H](C)N)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,CPCRJSQNWHCGOP,1,val
CC1=CC2C3(CC1)COC(=O)C4C5(O4)CCOC(C5O)(/C=C\C=C/C(=O)OC6C3(C7(CO7)C(C6)O2)C)C(=O)C,SJCPVUVBUQDGKN,1,train
CCCCCC[C@H]1[C@@H]2CC[C@H]3[C@H](CC[C@H]([C@]3(O2)O1)O)O,GBDGOAVPCDIMFE,2,train
CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H]([C@H]([C@H]([C@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,AUGQEEXBDZWUJY,1,train
C1=CC=C(C=C1)C2=C(C(=O)NC3=CC=CC=C32)O,QSRVMXWVVMILDI,1,test
CC1=C[C@@H]2[C@](C[C@@H]1O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,TVZHDVCTOCZDNE,1,train
C1=CC(=C(C=C1O)CO)O,PUZSUVGRVHEUQO,2,train
CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)CCCCCC[C@H](C[C@@H]([C@H](C)N)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,UXDPXZQHTDAXOZ,1,train
C[C@H]1[C@@H]([C@@H](CC(=C)[C@@H]2CC([C@@H]2CC1=O)(C)C)O)O,NGQXJSTYWWTPOG,4,train
C[C@H]\1C/C=C/[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)/C=C/C(=O)[C@@H](/C(=C1)/C)O)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,OUMWCYMRLMEZJH,2,train
CN1C(=O)C2=CC=CC=C2NC(=O)C13[C@H](O3)C4=CC=CC=C4,APLKWZASYUZSBL,1,train
CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)[C@@H](C)CC)C)C(C)C)[C@@H](C)CC)C)C(C)C,TWHBYJSVDCWICV,1,train
CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,UJYGDMFEEDNVBF,2,train
C[C@@H]1CCC2[C@@]([C@@]13CC4=C(C=C5C(=C4O3)CN(C5=O)CCCC[C@@H](C(=O)O)N6CC7=C8C(=C(C=C7C6=O)O)C[C@@]9(O8)[C@@H](CCC1[C@@]9(C[C@H]([C@H](C1(C)C)O)O)C)C)O)(CC[C@H](C2(C)C)O)C,ZRTGPZGAMCJZNA,2,train
CCOC(=O)C(CC1=CC=CC=C1)NC(=O)C2=C(C3=C(CC(OC3=O)C)C=C2)O,XXAVUHHKDMGGBR,2,test
CC1=CC2C3(CC1)COC(=O)C4C5(O4)CCOC(C5O)(/C=C/C=C\C(=O)OC6C3(C7(CO7)C(C6)O2)C)C(C)O,GTONGKBINDTWOM,1,train
CC(=C[C@@H]1N2C3=C(C=CC(=C3)OC)C4=C2[C@H](CC(OO1)(C)C)N5C(=O)[C@@H]6CCCN6C(=O)[C@@]5([C@H]4O)O)C,LRXYHMMJJCTUMY,6,test
CC(C)C[C@@H]1C(=O)N[C@H](C(=O)N[C@@H]2CSSC[C@H](C(=O)N[C@H](C(=O)N1)C(C)C)NC2=O)C(C)C,KRQRRZFXHYYNSO,1,train
CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,BGHDUTQZGWOQIA,2,train
CC[C@H](C)[C@H]1C(=C(C(=O)N1)C(=O)C)O,CEIZFXOZIQNICU,6,val
CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,HEFIYUQVAZFDEE,1,train
CC[C@H](C)/C=C/C1=CC2=C(C(=O)[C@@]3(C(=C(C(=O)O3)C(=O)[C@@H](C)[C@@H](C)O)C2=CO1)C)Cl,HWSQVPGTQUYLEQ,1,train
CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCOC(=O)/C=C/C=C/C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)\C,GXCGYHWSYNQVHU,2,train
CC1=CC(=CC2=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O,LCSDQFNUYFTXMT,1,train
C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,RWQKHEORZBHNRI,1,train
C[C@@H]1[C@H](OC=C2C1=C(C(=C(C2=O)C(=O)O)O)C)C,CBGDIJWINPWWJW,7,train
CC(C)(C=C)[C@@]12C[C@H]3C(=O)N/C(=C/C4=CN=CN4)/C(=O)N3[C@@H]1NC5=CC=CC=C25,SPWSUFUPTSJWNG,1,train
C[C@H](CC1=C2C3=C(C(=C(C4=C3C5=C6C2=C(C(=O)C=C6OCOC5=CC4=O)C(=C1OC)O)O)OC)C[C@@H](C)O)O,MXLWQNCWIIZUQT,4,test
CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)[C@@H](C)CC)C)C(C)C)C(C)C)C)C(C)C,OWUREPXBPJFMOK,1,test
CS[C@H]1C(=O)N[C@@](C(=O)N1)(CC2=CC=C(C=C2)O)SC,ALVTZOKFXMRGEB,5,train
CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H](C[C@H]([C@@]34CO4)O2)OC(=O)/C=C\C=C\[C@@H]([C@H](C)O)O)C)CO,QFKRKMXPKBHGGO,10,train
CC(C)(C=C)[C@@]12C=C(C(=O)N\3[C@]1(NC(=O)/C3=C\C4=CN=CN4)N(C5=CC=CC=C25)OC)OC,SOHAVULMGIITDH,1,train
C[C@H]1C(C2=C(O1)C3=C4C(=C2O)C(=O)C(=O)OC4=C(C=C3C)O)(C)C,MYDJDVOVZVSVIE,10,train
CC[C@H](C)C(=O)O[C@H]1CCC=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O,AJLFOPYRIVGYMJ,1,val
CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)O)C)CO,LINOMUASTDIRTM,1,train
CC(C)(C=C)[C@@]12C[C@@H](C(=O)N\3[C@]1(NC(=O)/C3=C\C4=CN=CN4)N(C5=CC=CC=C25)OC)O,HHLNXXASUKFCCX,1,train
CC(=CCC1=C(C2=CC=CC=C2N1)C[C@H]3C(=O)N4CCC[C@H]4C(=O)N3)C,GLWYBXPXOSKQAW,3,train
CC1=C[C@@H]2[C@](C(C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)OC(=O)C)C)COC(=O)C,RANGFOQREJPKIH,4,val
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1,WWSYXEZEXMQWHT,1,train
CC(C)(C=C)C12CC3C(=O)N/C(=C/C4=CN=CN4)/C(=O)N3C1N(C5=CC=CC=C25)O,NNCYWYKIMLRIRQ,1,test
C[C@]12CCC[C@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C4=O)C=C(C=C5O)O,RYFFZJHGQCKWMV,2,train
CC(C)[C@H]1C2=NC3=CC=CC=C3C(=O)N2[C@@H](C(=O)N1)C[C@@]4([C@@H]5NC(C(=O)N5C6=CC=CC=C64)(C)C)O,VHQZIMAMLQIPDR,1,train
C1=CC=C(C=C1)C[C@@H](CO)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,KSVKECXWDNCRTM,4,train
COC1=C(C2=C(C=C1)C=C(C(=O)O2)NC(=O)C3=NO[C@H]4[C@@H](C=C[C@H]([C@]4(C3)O)O)O)OC,ZQOKLOPATOTAEE,1,train
C1=C(C=C(C(=CC1=O)O)O)C(=O)O,ZGKNMKBZOSTFCB,5,train
C[C@@H]1CCO[C@H](/C=C/C=C\C(=O)O[C@@H]2C[C@@H]3[C@]4([C@]2([C@]5(CCC(=C[C@H]5O3)C)COC(=O)[C@H]1O)C)CO4)[C@@H](C)O,NSFWWJIQIKBZMJ,2,train
CC1=C[C@H]2[C@@]3(CCC(=O)C([C@H]3CC[C@@]2([C@]4([C@@]1(C(=C(C4=O)C)O)C)C(=O)OC)C)(C)C)C,SMUNNMAWNRFDPB,2,train
CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)O)C)COC(=O)C,PNKLMTPXERFKEN,1,train
CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCC[C@H](C[C@@H]([C@H](C)N)O)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,UVBUBMSSQKOIBE,1,train
C[C@]1([C@@H]([C@H](C2=C([C@H]1O)C(=O)C3=C(C2=O)C(=CC(=C3)OC)O)O)O)O,VSMBLBOUQJNJIL,5,val
CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)CCCCCCCC[C@@H]([C@H](C)N)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,WYYKRDVIBOEORL,1,train
C[C@H]1C(=O)N[C@H](C(=O)N(/C(=C\C2=CC=CC=C2)/C(=O)NCC(=O)N1C)C)CC(C)C,SIIRBDOFKDACOK,9,train
CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,BXFOFFBJRFZBQZ,4,train
C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@H]5CN([C@@H]6CC7=CNC8=CC=CC(=C78)C6=C5)C,XCGSFFUVFURLIX,1,train
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,RHMXXJGYXNZAPX,1,train
CC1=C[C@]23[C@](CC1)([C@]4(C[C@@H]([C@H]([C@]4(O2)CO)O3)O)C)C,GFLMBFRNOPTZDK,6,test
C[C@@]1(CC2=C([C@H]([C@H]1O)O)C(=C3C(=O)C=C(C(=O)C3=C2O)OC)O)O,ZQNOLGRKZRDRQO,6,train
CC(=CCOC1=CC=C(C=C1)/C=C\2/C(=O)N(C(C(=O)N2C)SC)C)C,QXYMNBLAEDQYLV,9,train
CC1([C@@H]2C[C@@]34CCCN3C(=O)[C@]2(C[C@]15C(=O)C6=CC=CC=C6N5)NC4=O)C,MWOFPQAPILIIPR,5,train
CC1C(C2=C(O1)C3=C4C(=C2O)C(=CC(=O)C4=C(C(=C3O)O)OC)C)(C)C,RFUGLBPILINWDW,4,val
C1=C(OC=C(C1=O)O)CO,BEJNERDRQOWKJM,1,val
CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)O)C)CO,UKOTXHQERFPCBU,1,train
C[C@H]1[C@@]2(C(=O)O[C@]3([C@@H](C4=C([C@]5(CC[C@]4([C@@]2(C3=C)C(=O)O1)C)C=CC(=O)OC5(C)C)C)OC(=O)C)C)O,DEMDOYQPCDXCEB,8,train
C[C@@H]1CCC2[C@@]([C@@]13CC4=C(C=C5C(=C4O3)CN(C5=O)[C@@H](CCCCN6CC7=C8C(=C(C=C7C6=O)O)C[C@@]9(O8)[C@@H](CCC1[C@@]9(C[C@H]([C@H](C1(C)C)O)O)C)C)C(=O)O)O)(CC[C@H](C2(C)C)O)C,GBUQOBUNFQDAQG,2,train
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,OQIQSTLJSLGHID,1,train
C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,DDUHZTYCFQRHIY,1,train
C[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,WVVSZNPYNCNODU,1,train
CC[C@H](C)[C@H]([C@@](/C=C/CC(=C)CCC(=O)C1C(=O)C[C@H](OC1=O)C)(C(=O)O)O)O,OFVHHCDOMZQVQV,10,train
CCCCC1=CN=C(C=C1)C(=O)O,DGMPVYSXXIOGJY,3,train
CC(=C)C(=O)/C(=C/C(=O)O)/OC,VOUGEZYPVGAPBB,3,train
CC(=C)[C@@H]1[C@@H]([C@@H]2[C@@]3(O2)[C@@H](O1)CC[C@]4([C@]3(CC[C@@H]5[C@@]4(C6=C7[C@H]5OC([C@H]8C[C@H]9[C@@]8(C1=C7C(=CC(=C1CC9=C)Cl)N6)O)(C)C)C)O)C)O,JDUWHZOLEDOQSR,2,train
CC1=CC(=O)C2=C(O1)C=C3C(=C2O)C(=O)C(=C(C3=O)OC)C4=C(C(=O)C5=CC6=C(C(=O)C=C(O6)C)C(=C5C4=O)O)OC,VSWWTKVILIZDGX,10,train
CN(C1=CC2=C(C(=C(C=C2)OC)OC)OC1=O)C(=O)C3=NO[C@H]4[C@@H](C=C[C@H]([C@]4(C3)O)O)O,PCMUPOUDXMFDRE,1,train
C[C@@H]1CC2=C(C(=C(C=C2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)O)C(=O)O1,DAEYIVCTQUFNTM,1,train
COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4C(=C1)O[C@@H]5[C@]4(C=CO5)O,MJBWDEQAUQTVKK,1,train
CC[C@@H](C)[C@H]([C@H](C[C@@H](C)CCCCCC[C@H](C[C@@H](CN)O)O)OC(=O)CC(CC(=O)O)C(=O)O)O,CTXQVLLVFBNZKL,8,train
COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,XWIYFDMXXLINPU,1,train
CCC/C=C/C=C/[C@@H]1C[C@H]([C@H](C(=O)[C@H]1C=O)O)O,MHZVWXOKIRZLCJ,1,train
CC(C)[C@@H](C(=O)N1[C@H](C(=O)N2CCC[C@@H]2C1=O)CC3=CC=CC=C3)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C,KMDKLWZQLMBIBS,3,train
CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C/4\CCO[C@@]([C@@H]4O)(/C=C/C=C/C(=O)OC5[C@]3([C@]6(CO6)[C@@H](C5)O2)C)[C@H](C)O,MUACSCLQRGEGOE,2,train
CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O,SZINUGQCTHLQAZ,-1,train
CC1=C[C@@H]2[C@](C[C@@H]1O)([C@]3([C@@H]([C@H]([C@H](C34CO4)O2)O)O)C)CO,ZAXZBJSXSOISTF,2,train
C1CO[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C4=O)C=CC=C5O)O,MFMARNFPIVNIHS,5,train
C[C@H]/1C/C=C\[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@@]2(C(=O)CCC(=O)C(=O)/C(=C1)/C)C(=O)N[C@H]4CC5=CNC6=CC=CC=C65)C)C,RIZAHVBYKWUPHQ,2,train
CCCCCCCCC(=O)C1=C(OC(=CC1=O)C=O)OC,YTVPBUCDNKECDB,9,train
CCCCCC[C@@H]([C@@H]1CCC2=C(O1)[C@@H](CCC2=O)O)O,INHVGPIPHZJQOP,3,val
CC1CC2=C(C(=CC=C2)O)C(=O)O1,KWILGNNWGSNMPA,1,train
CC1=CC2=C(C=C1O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,FKTPLNFTYJEAAB,2,train
C[C@@]12CCCC([C@H]3[C@@H]1[C@@H](C[C@@]2(C3O)C)O)(C)C,VWMGBHVRRNKOAE,6,train
CC(C)(C=C)C12CC3C(=O)NC(C(=O)N3C1NC4=CC=CC=C24)CC5=CN=CN5,IQVNREJWRXOHEO,1,train
CC(C)(C=C)[C@@]12C=C(C(=O)N\3[C@]1(NC(=O)/C3=C\C4=CN=CN4)N(C5=CC=CC=C25)OC)O,JTJJJLSLKZFEPJ,1,train
CC(C)(C=C)[C@@]12C=C(C(=O)N\3[C@]1(NC(=O)/C3=C\C4=CN=CN4)N(C5=CC=CC=C25)O)O,YEVSOYBNHBOQJZ,1,train
C1=CC=C2C(=C1)C(=CN2)CC3C(=O)N/C(=C/C4=CN=CN4)/C(=O)N3,ITXQTTPWGBFRNK,1,train
CC1=CC(=CC2=C1C3=C(C(=CC(=C3)O)O)C(=O)O2)O,CEBXXEKPIIDJHL,1,test
C[C@]12C3=NC4=CC=CC=C4C(=O)N3[C@H](C[C@@]15C6=CC=CC=C6NC5=O)C(=O)N2,COXWNIZQNAMTQL,5,train
CC(C)C[C@H]1C(=O)N2C(N1)[C@@]3(C[C@@H]4C(=O)N[C@](O3)(C5=NC6=CC=CC=C6C(=O)N45)C)C7=CC=CC=C72,SJNRYASCJOVKHZ,1,train
C[C@]12C[C@@H]([C@H](C=C1C3=C(C(=CC(=C3)OC)O)C(=O)O2)O)O,MMHTXEATDNFMMY,1,train
CC1=C[C@@H]2[C@](CC1)([C@]3([C@@H](C[C@H]([C@@]34CO4)O2)O)C)CO,ZSRVBNXAPSQDFY,2,train
CC1=CC2=C(C(=C1)O)C(=C3C(=O)[C@H]4C(C5[C@]3(C2=O)[C@@H]6C(C5[C@@]47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O,QFDPVUTXKUGISP,2,train
CC(C)(C=C)C12CC3C(=O)N/C(=C/C4=CN=CN4)/C(=O)N3C1=[N+](C5=CC=CC=C25)[O-],JKXUAFUJOVITSU,1,test
C[C@@H]1CC(=O)[C@]/2([C@@H]1C[C@]3(CC[C@@H]([C@@H]3C/C=C2/C=O)C(=C)C)C)O,QXVAWAHULUVLPT,10,train
CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,HPNSFSBZBAHARI,1,train
COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=CC=CC(=C5C2=O)O,UTSVPXMQSFGQTM,1,train
CC1=CC(=C(C2=C1C(=CC(=O)O2)OC)C3=C(C=C(C4=C3OC(=O)C=C4OC)C)OC)OC,CSJOUDOXDHMIAH,8,train
CC1=C2[C@H]3[C@@H](C(=O)O2)[C@@](O[C@H]3/C(=C\C[C@H]4C(=C(C(=O)O[C@@]4(CC1)C)OC)C(C)C)/C)(C)O,BDGOANHBKYFDGC,10,train
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,NESVMZOPWPCFAU,2,train
CC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CC3=CC=CC=C3)C(C)C,OWKLJRMFTXDULF,7,train
C/C(=C\[C@H]1[C@@H](CC2=CNC3=CC=CC1=C23)NC)/CO,SAHHMCVYMGARBT,2,val
C1=CC=C2C(=C1)C(=C(C(=O)N2)O)C3=CC(=CC=C3)O,QIJIOTTYIGBOQA,1,train
CC(=O)OC[C@H](CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,VZPAURMDJZOGHU,4,train
CCNC1=NC(=NC(=N1)Cl)NC(C)C,MXWJVTOOROXGIU,1,train
CN(C)C(=O)NC1=CC(=C(C=C1)OC)Cl,DSRNRYQBBJQVCW,3,val
COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,HZRSNVGNWUDEFX,10,train
C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC(C(F)F)(F)F)Cl)F,RGNPBRKPHBKNKX,7,train
CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,FHIVAFMUCKRCQO,4,train
CC1=C(C=CC(=C1)OC(=O)NC)N(C)C,IMIDOCRTMDIQIJ,1,test
CNC(=O)CSP(=S)(OC)OC,MCWXGJITAZMZEV,3,train
CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)CCl,STEPQTYSZVCJPV,2,train
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,DUEPRVBVGDRKAG,1,train
CCSC(=O)N1CCCCCC1,DEDOPGXGGQYYMW,4,train
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,JXSJBGJIGXNWCI,4,val
C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,WJCNZQLZVWNLKY,7,train
CC1=C(C(=C(C=C1)Cl)NS(=O)(=O)C2=NN3C(=CC(=NC3=N2)OC)OC)Cl,VGHPMIFEKOFHHQ,10,train
C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,PZBPKYOVPCNPJY,7,val
CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,CLQMBPJKHLGMQK,1,train
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC(=C3)O,AWYVETCHVQGXMB,1,train
CC(C)COP(=O)(OCC(C)C)OCC(C)C,HRKAMJBPFPHCSD,3,train
CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(C(=O)OCCCCCC)OC(=O)CCC,GWVUTNGDMGTPFE,8,test
CC(C)(C)C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C(C)(C)C)OC3=CC=CC=C3C(C)(C)C,SPUXJWDKFVXXBI,6,train
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCC(C)O,ZYWDPVGRFHQPGL,1,val
C[C@@]1(CCOC(=O)C1)O,JYVXNLLUYHCIIH,2,train
CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2,CGSLYBDCEGBZCG,1,val
CC(C)C[C@@H](C(=O)O)NC(=O)C,WXNXCEHXYPACJF,1,train
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,LOUPRKONTZGTKE,1,train
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,AUNGANRZJHBGPY,1,test
CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,BJQHLKABXJIVAM,4,train
CCCCC/C=C/C(=O)OC(CC(=O)[O-])C[N+](C)(C)C,LOSHAHDSFZXVCT,1,train
CCOP(=O)(OCC)OCC,DQWPFSLDHJDLRL,2,train
C(C[C@@H](C(=O)O)N)CN,AHLPHDHHMVZTML,1,train
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=C(C=C3)O,NOPNBQOZUKISRP,1,train
CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O,LFTYTUAZOPRMMI,6,test
C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)CO)O,YKBGVTZYEHREMT,1,train
C1=CC2=NNN=C2C=C1Cl,PZBQVZFITSVHAW,1,train
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,GTVWRXDRKAHEAD,8,val
C(CCl)OP(=O)(OCCCl)OCC(COP(=O)(OCCCl)OCCCl)(CCl)CCl,ZGHUDSLVQAGWEY,11,test
CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,RRVPPYNAZJRZFR,2,train
